objID,pairID,expID,detector,ccd_type,GRID_X0,GRID_X0ERR,GRID_Y0,GRID_Y0ERR,GRID_THETA,GRID_THETAERR,group,orientation,dX,dY,dR,theta
169,32,3021122200138,46,E2V,2079.07534555254,0.0167269787165302,-140.185616236864,0.0191419028273055,0.0920570891406181,1.69714583001274e-05,1,267.8840042966996,2.5879419668499395,240.0247084091443,240.0386595749079,90.61773809819307
170,89,3021122200201,46,E2V,2076.03421328283,0.0148077085786194,4160.43858319558,0.0152238145714776,0.0918616684554178,1.26873865951477e-05,0,92.01562879278997,2.2914395047500875,213.94793099511207,213.9602016078999,90.61362964479027
171,88,3021122200209,46,E2V,-22.8653378682386,0.016550076451078,2058.25961748257,0.014129586146422,0.0919859165030085,1.34221207057819e-05,3,1.6496934625735378,122.51752098633824,1.6272459826100203,122.52832683965676,179.23905703820927
172,90,3021122200210,46,E2V,4178.41920919899,0.0215728753880983,2060.95667123873,0.0188338813076786,0.0919038323219134,2.02544651726406e-05,2,178.39716393665157,130.41971079540963,-3.8797698260100333,130.47740638846676,181.70395177066985
173,34,3021122200139,47,E2V,2054.48986563511,0.0170907756857657,-133.867008924834,0.0190550187532329,0.0918504838280961,1.67261552284787e-05,1,268.5372279624779,-4.027232268470016,240.6869530243248,240.72064297828248,89.04140262180448
174,91,3021122200202,47,E2V,2052.16176131715,0.0150796602573,4166.80571917518,0.0155732810555427,0.0916359073012586,1.26735129052124e-05,0,91.37902149120575,-0.46918554292960835,218.15973250051866,218.1602370272171,89.87677693924499
175,90,3021122200210,47,E2V,-48.0005015964194,0.0161807550412083,2064.83644106474,0.0145894572604501,0.0918381569007929,1.40544792872394e-05,3,1.8132876908228752,130.41971079540963,-3.8797698260100333,130.47740638846676,181.70395177066985
176,92,3021122200211,47,E2V,4153.93705011808,0.0204231728177139,2067.992039687,0.0180081957213308,0.0916792399039148,2.12194733609281e-05,2,178.19197884126714,153.7123300058247,-8.35356419790969,153.9391517146569,183.11070433977991
177,80,3021122200196,48,E2V,-108.244538971893,0.0166036193471069,2033.9274294606,0.0148393903430348,0.0921474221961879,1.39225467585357e-05,3,0.9219664512856696,159.5818672984833,-6.373169623130025,159.7090782063309,182.2869877365418
178,87,3021122200200,48,E2V,2095.33681070197,0.079689323679587,-64.4461230009435,0.0871589820450527,0.0922244032697296,8.18325577036963e-05,1,267.3559403136555,-6.5628267736301495,215.152090231084,215.25216056073674,88.25283724749255
179,93,3021122200203,48,E2V,2090.82261875399,0.0147911937046709,4137.53027640729,0.0152695735006616,0.0919205096816791,1.26005804689377e-05,0,92.43300627711966,1.5793573839100645,227.3791986996248,227.38468367730832,90.39796541521211
